vehicle_plate_num,vehicle_plate_type,vehicle_type,arrival_time,duration_hours,departure_time,day_of_week,hour_of_day,arrival_hour,arrival_minute,arrival_day_of_week,stay_duration_minutes,priority_level,bay_assigned,slot_assigned,allocation_score
ABC8916,2,2,2023-05-04 18:08:00,1,2023-05-04 19:08:00,3,18,18,8,3,60,2,1,4,300.08354099167514
ABC9529,1,2,2023-05-04 06:52:00,1,2023-05-04 07:52:00,3,6,6,52,3,60,1,3,2,173.5844042260253
ABC1878,0,2,2023-05-07 17:47:00,3,2023-05-07 20:47:00,6,17,17,47,6,180,0,4,9,67.80044337953011
ABC5887,2,1,2023-05-03 08:40:00,1,2023-05-03 09:40:00,2,8,8,40,2,60,1,3,5,195.14430319295283
ABC5859,0,2,2023-05-07 16:44:00,2,2023-05-07 18:44:00,6,16,16,44,6,120,0,1,5,142.17424630095965
ABC7331,0,2,2023-05-01 11:12:00,3,2023-05-01 14:12:00,0,11,11,12,0,180,0,2,4,107.8632183349605
ABC9571,2,2,2023-05-04 17:45:00,2,2023-05-04 19:45:00,3,17,17,45,3,120,2,4,5,190.4075858933715
ABC9684,2,0,2023-05-05 10:33:00,1,2023-05-05 11:33:00,4,10,10,33,4,60,2,1,1,303.48150561676465
ABC8208,1,2,2023-05-04 18:28:00,2,2023-05-04 20:28:00,3,18,18,28,3,120,1,4,10,91.28213786832907
ABC6276,1,0,2023-05-02 12:56:00,5,2023-05-02 17:56:00,1,12,12,56,1,300,1,3,10,92.66531803108062
ABC3062,0,0,2023-05-02 16:09:00,3,2023-05-02 19:09:00,1,16,16,9,1,180,0,1,6,133.51971131330822
ABC1064,1,0,2023-05-01 09:17:00,4,2023-05-01 13:17:00,0,9,9,17,0,240,1,4,4,155.83769917750558
ABC9006,1,0,2023-05-06 08:42:00,2,2023-05-06 10:42:00,5,8,8,42,5,120,1,1,4,249.2323015341367
ABC3568,2,1,2023-05-04 09:46:00,2,2023-05-04 11:46:00,3,9,9,46,3,120,1,1,5,225.27527995673643
ABC6463,1,2,2023-05-06 18:32:00,1,2023-05-06 19:32:00,5,18,18,32,5,60,1,3,1,239.32161528846345
ABC3027,0,0,2023-05-02 09:54:00,3,2023-05-02 12:54:00,1,9,9,54,1,180,0,3,4,114.62908042194147
ABC3695,1,2,2023-05-02 12:50:00,1,2023-05-02 13:50:00,1,12,12,50,1,60,1,3,10,96.36775045949543
ABC6258,0,0,2023-05-05 17:02:00,3,2023-05-05 20:02:00,4,17,17,2,4,180,0,2,3,185.47848229633044
ABC6618,2,1,2023-05-07 18:54:00,4,2023-05-07 22:54:00,6,18,18,54,6,240,1,4,5,122.13240383137301
ABC7736,0,0,2023-05-05 09:22:00,4,2023-05-05 13:22:00,4,9,9,22,4,240,0,3,10,107.5039848480763
ABC1391,1,2,2023-05-05 07:00:00,1,2023-05-05 08:00:00,4,7,7,0,4,60,1,2,5,181.41049130655742
ABC6892,2,2,2023-05-02 13:42:00,3,2023-05-02 16:42:00,1,13,13,42,1,180,2,2,8,127.52819222047916
ABC4561,1,1,2023-05-07 06:43:00,4,2023-05-07 10:43:00,6,6,6,43,6,240,0,4,1,110.4044801034431
ABC7184,2,2,2023-05-02 18:31:00,1,2023-05-02 19:31:00,1,18,18,31,1,60,2,4,3,226.52173888211286
ABC4099,2,2,2023-05-03 09:43:00,1,2023-05-03 10:43:00,2,9,9,43,2,60,2,3,5,231.61305614424975
ABC7278,1,0,2023-05-02 18:25:00,3,2023-05-02 21:25:00,1,18,18,25,1,180,1,2,3,211.0217930143029
ABC9392,1,2,2023-05-01 16:11:00,1,2023-05-01 17:11:00,0,16,16,11,0,60,1,4,6,129.41235934227146
ABC4104,2,0,2023-05-01 09:18:00,1,2023-05-01 10:18:00,0,9,9,18,0,60,2,4,10,115.60262602787171
ABC8215,2,1,2023-05-04 09:54:00,1,2023-05-04 10:54:00,3,9,9,54,3,60,1,4,3,188.2397556167675
ABC3454,1,2,2023-05-07 09:13:00,1,2023-05-07 10:13:00,6,9,9,13,6,60,1,4,6,152.49444224476696
ABC9996,0,0,2023-05-07 10:52:00,8,2023-05-07 18:52:00,6,10,10,52,6,480,0,2,8,88.74450248568984
ABC3731,1,2,2023-05-04 08:40:00,3,2023-05-04 11:40:00,3,8,8,40,3,180,1,1,4,234.04077504201598
ABC9154,2,0,2023-05-03 09:03:00,3,2023-05-03 12:03:00,2,9,9,3,2,180,2,4,8,151.7477786763066
ABC6056,1,1,2023-05-03 09:54:00,6,2023-05-03 15:54:00,2,9,9,54,2,360,0,2,7,106.70084944441658
ABC9110,0,0,2023-05-07 19:57:00,3,2023-05-07 22:57:00,6,19,19,57,6,180,0,4,4,110.92033213740197
ABC4840,1,2,2023-05-07 17:59:00,3,2023-05-07 20:59:00,6,17,17,59,6,180,1,2,3,204.22469113981967
ABC2028,2,0,2023-05-03 15:56:00,2,2023-05-03 17:56:00,2,15,15,56,2,120,2,3,5,172.5470895825894
ABC8385,1,2,2023-05-05 09:53:00,2,2023-05-05 11:53:00,4,9,9,53,4,120,1,1,5,203.4815442960731
ABC1502,2,1,2023-05-06 17:06:00,2,2023-05-06 19:06:00,5,17,17,6,5,120,1,2,7,168.0706911498866
ABC7910,2,0,2023-05-07 08:49:00,2,2023-05-07 10:49:00,6,8,8,49,6,120,2,2,1,337.06944125395324
ABC7938,1,2,2023-05-07 16:35:00,1,2023-05-07 17:35:00,6,16,16,35,6,60,1,2,9,127.8540343187467
ABC5488,2,2,2023-05-03 18:52:00,1,2023-05-03 19:52:00,2,18,18,52,2,60,2,4,2,239.13974401427524
ABC1206,2,2,2023-05-05 08:51:00,1,2023-05-05 09:51:00,4,8,8,51,4,60,2,3,9,165.9646451439657
ABC6134,0,0,2023-05-04 16:14:00,2,2023-05-04 18:14:00,3,16,16,14,3,120,0,4,9,75.01371791434366
ABC6977,0,0,2023-05-06 21:46:00,4,2023-05-07 01:46:00,5,21,21,46,5,240,0,3,3,89.67663125560101
ABC8721,0,0,2023-05-01 07:26:00,2,2023-05-01 09:26:00,0,7,7,26,0,120,0,1,7,118.49754946264507
ABC8035,0,1,2023-05-05 14:04:00,4,2023-05-05 18:04:00,4,14,14,4,4,240,0,4,3,113.18115670750878
ABC2484,2,2,2023-05-03 07:34:00,2,2023-05-03 09:34:00,2,7,7,34,2,120,2,2,8,183.514608822457
ABC8858,1,2,2023-05-06 15:36:00,2,2023-05-06 17:36:00,5,15,15,36,5,120,1,1,8,120.6782397760273
ABC1863,2,1,2023-05-06 08:21:00,2,2023-05-06 10:21:00,5,8,8,21,5,120,1,4,3,164.25508109411967
ABC3790,2,1,2023-05-07 17:31:00,6,2023-05-07 23:31:00,6,17,17,31,6,360,1,3,5,144.5268573418675
ABC8408,2,0,2023-05-07 08:35:00,1,2023-05-07 09:35:00,6,8,8,35,6,60,2,4,7,149.69276490889192
ABC9755,1,0,2023-05-07 19:12:00,3,2023-05-07 22:12:00,6,19,19,12,6,180,1,4,1,154.11096438587063
ABC6116,0,0,2023-05-02 21:32:00,3,2023-05-03 00:32:00,1,21,21,32,1,180,0,2,3,124.55911973898314
ABC7019,2,0,2023-05-04 19:41:00,2,2023-05-04 21:41:00,3,19,19,41,3,120,2,2,1,255.46995130720245
ABC2757,2,0,2023-05-07 17:11:00,2,2023-05-07 19:11:00,6,17,17,11,6,120,2,1,2,326.2146455226122
ABC8574,0,0,2023-05-01 18:57:00,2,2023-05-01 20:57:00,0,18,18,57,0,120,0,2,7,121.17223280400465
ABC7374,2,1,2023-05-01 18:55:00,6,2023-05-02 00:55:00,0,18,18,55,0,360,1,4,7,118.5875806151963
ABC7892,1,1,2023-05-07 13:09:00,4,2023-05-07 17:09:00,6,13,13,9,6,240,0,4,3,86.1282670805924
ABC2678,2,1,2023-05-07 17:59:00,6,2023-05-07 23:59:00,6,17,17,59,6,360,1,3,6,144.9424168121181
ABC4242,2,2,2023-05-02 15:18:00,1,2023-05-02 16:18:00,1,15,15,18,1,60,2,4,6,140.5330454147548
ABC5636,0,2,2023-05-06 16:03:00,1,2023-05-06 17:03:00,5,16,16,3,5,60,0,1,2,187.2093257036894
ABC2059,2,0,2023-05-05 20:16:00,1,2023-05-05 21:16:00,4,20,20,16,4,60,2,1,9,170.00488380706378
ABC7668,2,1,2023-05-02 08:43:00,6,2023-05-02 14:43:00,1,8,8,43,1,360,1,2,8,143.38703841995323
ABC4157,1,2,2023-05-07 16:57:00,1,2023-05-07 17:57:00,6,16,16,57,6,60,1,3,2,167.64651076234995
ABC6915,0,2,2023-05-01 17:50:00,2,2023-05-01 19:50:00,0,17,17,50,0,120,0,4,4,138.9773246452278
ABC3693,0,1,2023-05-04 08:02:00,6,2023-05-04 14:02:00,3,8,8,2,3,360,0,2,9,105.42951876553646
ABC4627,1,2,2023-05-05 08:00:00,2,2023-05-05 10:00:00,4,8,8,0,4,120,1,4,4,164.4685116945935
ABC6450,2,2,2023-05-01 07:33:00,2,2023-05-01 09:33:00,0,7,7,33,0,120,2,1,7,212.35423762599302
ABC2663,0,1,2023-05-06 09:33:00,2,2023-05-06 11:33:00,5,9,9,33,5,120,0,1,5,166.642493678857
ABC6592,0,2,2023-05-01 17:08:00,2,2023-05-01 19:08:00,0,17,17,8,0,120,0,3,10,91.32902344020385
ABC8392,2,1,2023-05-06 10:37:00,6,2023-05-06 16:37:00,5,10,10,37,5,360,1,4,6,103.05430358806271
ABC2306,2,2,2023-05-02 14:38:00,2,2023-05-02 16:38:00,1,14,14,38,1,120,2,4,1,189.2699192313764
ABC7776,0,1,2023-05-06 14:36:00,2,2023-05-06 16:36:00,5,14,14,36,5,120,0,1,4,117.49714201976028
ABC6864,2,2,2023-05-05 15:19:00,1,2023-05-05 16:19:00,4,15,15,19,4,60,2,3,5,149.7834285779071
ABC8526,0,2,2023-05-01 09:19:00,1,2023-05-01 10:19:00,0,9,9,19,0,60,0,2,6,136.40372164297042
ABC9901,2,1,2023-05-07 19:20:00,3,2023-05-07 22:20:00,6,19,19,20,6,180,1,3,6,147.53711718807025
ABC6575,2,2,2023-05-04 08:22:00,1,2023-05-04 09:22:00,3,8,8,22,3,60,2,2,5,261.45267448454365
ABC6530,1,1,2023-05-07 10:17:00,4,2023-05-07 14:17:00,6,10,10,17,6,240,0,2,3,127.65358955773512
ABC5413,2,1,2023-05-07 18:16:00,3,2023-05-07 21:16:00,6,18,18,16,6,180,1,1,2,242.80651321509777
ABC4748,1,2,2023-05-04 21:10:00,3,2023-05-05 00:10:00,3,21,21,10,3,180,1,2,7,127.95579038835238
ABC1663,2,0,2023-05-01 07:33:00,1,2023-05-01 08:33:00,0,7,7,33,0,60,2,4,1,219.60271165953523
ABC2998,0,2,2023-05-05 16:57:00,3,2023-05-05 19:57:00,4,16,16,57,4,180,0,1,5,151.80893677117646
ABC8994,0,0,2023-05-05 09:09:00,3,2023-05-05 12:09:00,4,9,9,9,4,180,0,3,4,157.15298683326182
ABC2495,2,0,2023-05-04 08:26:00,2,2023-05-04 10:26:00,3,8,8,26,3,120,2,3,7,180.74107324504072
ABC4304,2,2,2023-05-07 08:33:00,4,2023-05-07 12:33:00,6,8,8,33,6,240,2,2,2,297.0210973489177
ABC4763,0,0,2023-05-07 09:17:00,1,2023-05-07 10:17:00,6,9,9,17,6,60,0,4,8,93.9214030997635
ABC6232,2,1,2023-05-05 18:17:00,3,2023-05-05 21:17:00,4,18,18,17,4,180,1,3,9,123.8983468323281
ABC2853,1,1,2023-05-04 13:12:00,3,2023-05-04 16:12:00,3,13,13,12,3,180,0,2,10,96.53770659639711
ABC7585,1,0,2023-05-06 17:00:00,3,2023-05-06 20:00:00,5,17,17,0,5,180,1,3,1,226.6136265136054
ABC2291,1,1,2023-05-06 06:39:00,3,2023-05-06 09:39:00,5,6,6,39,5,180,0,4,5,107.75401641648423
ABC4581,1,2,2023-05-01 07:47:00,1,2023-05-01 08:47:00,0,7,7,47,0,60,1,2,4,171.69264035227548
ABC8554,1,1,2023-05-07 16:31:00,4,2023-05-07 20:31:00,6,16,16,31,6,240,0,4,5,99.22212163909602
ABC8280,2,0,2023-05-04 06:06:00,3,2023-05-04 09:06:00,3,6,6,6,3,180,2,2,9,146.551268787366
ABC2636,2,2,2023-05-01 17:46:00,3,2023-05-01 20:46:00,0,17,17,46,0,180,2,4,3,196.8197395663081
ABC4696,1,1,2023-05-06 09:44:00,1,2023-05-06 10:44:00,5,9,9,44,5,60,0,3,1,152.02975074944902
ABC1698,2,2,2023-05-07 10:07:00,1,2023-05-07 11:07:00,6,10,10,7,6,60,2,3,3,200.73805078581012
ABC5737,2,0,2023-05-07 08:59:00,3,2023-05-07 11:59:00,6,8,8,59,6,180,2,4,4,190.53320418766472
ABC1854,1,1,2023-05-03 09:15:00,2,2023-05-03 11:15:00,2,9,9,15,2,120,0,3,2,177.46626640020366
ABC9164,2,2,2023-05-07 07:47:00,2,2023-05-07 09:47:00,6,7,7,47,6,120,2,3,1,219.71517394055346
ABC6855,2,2,2023-05-03 15:04:00,1,2023-05-03 16:04:00,2,15,15,4,2,60,2,2,1,222.34205741983305
ABC8392,2,1,2023-05-04 17:22:00,3,2023-05-04 20:22:00,3,17,17,22,3,180,1,4,8,104.02941677211801
ABC7528,1,2,2023-05-06 09:27:00,3,2023-05-06 12:27:00,5,9,9,27,5,180,1,2,4,193.6290728700458
ABC6249,2,2,2023-05-04 13:43:00,3,2023-05-04 16:43:00,3,13,13,43,3,180,2,3,2,174.755928866553
ABC6172,0,0,2023-05-01 21:29:00,3,2023-05-02 00:29:00,0,21,21,29,0,180,0,3,10,55.86363455932957
ABC2707,0,0,2023-05-04 07:13:00,5,2023-05-04 12:13:00,3,7,7,13,3,300,0,1,3,135.91801761442403
ABC6791,1,0,2023-05-03 09:31:00,4,2023-05-03 13:31:00,2,9,9,31,2,240,1,4,8,125.8517428599138
ABC6535,0,0,2023-05-07 16:03:00,3,2023-05-07 19:03:00,6,16,16,3,6,180,0,4,6,99.64782521317812
ABC5931,1,0,2023-05-01 17:45:00,8,2023-05-02 01:45:00,0,17,17,45,0,480,1,2,8,142.76296758274302
ABC4510,0,0,2023-05-05 20:28:00,3,2023-05-05 23:28:00,4,20,20,28,4,180,0,4,10,59.70173447470421
ABC1202,0,1,2023-05-03 16:51:00,4,2023-05-03 20:51:00,2,16,16,51,2,240,0,2,5,113.57462633027791
ABC5218,0,0,2023-05-06 12:45:00,2,2023-05-06 14:45:00,5,12,12,45,5,120,0,3,3,121.21421687508779
ABC9958,1,2,2023-05-07 17:01:00,4,2023-05-07 21:01:00,6,17,17,1,6,240,1,1,6,197.08893763240727
ABC5389,1,1,2023-05-05 09:47:00,2,2023-05-05 11:47:00,4,9,9,47,4,120,0,3,10,90.69431777274963
ABC3327,2,2,2023-05-04 18:35:00,1,2023-05-04 19:35:00,3,18,18,35,3,60,2,2,8,222.0228516618795
ABC9004,1,0,2023-05-07 08:25:00,1,2023-05-07 09:25:00,6,8,8,25,6,60,1,2,5,197.1983249923161
ABC3931,0,0,2023-05-07 16:57:00,1,2023-05-07 17:57:00,6,16,16,57,6,60,0,1,5,137.16604362676927
ABC8777,0,2,2023-05-06 15:17:00,1,2023-05-06 16:17:00,5,15,15,17,5,60,0,3,3,127.5159429604872
ABC1197,1,2,2023-05-06 19:25:00,3,2023-05-06 22:25:00,5,19,19,25,5,180,1,4,3,151.67022895077082
ABC8125,1,2,2023-05-07 10:12:00,2,2023-05-07 12:12:00,6,10,10,12,6,120,1,1,8,148.45934703980248
ABC2930,1,1,2023-05-01 17:37:00,2,2023-05-01 19:37:00,0,17,17,37,0,120,0,4,1,149.79033377019522
ABC7287,2,0,2023-05-07 21:39:00,4,2023-05-08 01:39:00,6,21,21,39,6,240,2,3,4,142.06490933644045
ABC9800,0,2,2023-05-03 08:05:00,2,2023-05-03 10:05:00,2,8,8,5,2,120,0,1,9,135.48016280583911
ABC5282,2,0,2023-05-06 13:30:00,3,2023-05-06 16:30:00,5,13,13,30,5,180,2,3,6,139.81719906429825
ABC3511,2,2,2023-05-07 15:51:00,1,2023-05-07 16:51:00,6,15,15,51,6,60,2,3,6,151.04105727009755
ABC1659,0,0,2023-05-07 13:39:00,5,2023-05-07 18:39:00,6,13,13,39,6,300,0,4,10,52.850683750528276
ABC3811,0,1,2023-05-06 17:24:00,3,2023-05-06 20:24:00,5,17,17,24,5,180,0,4,7,109.19768254129671
ABC8098,1,0,2023-05-05 07:31:00,1,2023-05-05 08:31:00,4,7,7,31,4,60,1,4,7,114.7235231923067
ABC7546,1,2,2023-05-05 16:03:00,1,2023-05-05 17:03:00,4,16,16,3,4,60,1,3,6,153.08636707876138
ABC2986,2,0,2023-05-07 10:29:00,4,2023-05-07 14:29:00,6,10,10,29,6,240,2,2,9,144.95136157698704
ABC9338,1,1,2023-05-02 08:48:00,4,2023-05-02 12:48:00,1,8,8,48,1,240,0,3,8,114.39729589084625
ABC3911,1,1,2023-05-05 18:43:00,2,2023-05-05 20:43:00,4,18,18,43,4,120,0,2,8,105.5705083801831
ABC2734,0,0,2023-05-03 20:16:00,1,2023-05-03 21:16:00,2,20,20,16,2,60,0,1,2,147.80818987012987
ABC2843,0,2,2023-05-02 15:40:00,2,2023-05-02 17:40:00,1,15,15,40,1,120,0,4,7,94.9510032628511
ABC9680,1,1,2023-05-04 16:58:00,4,2023-05-04 20:58:00,3,16,16,58,3,240,0,4,1,102.18975623503515
ABC3976,0,1,2023-05-01 10:00:00,3,2023-05-01 13:00:00,0,10,10,0,0,180,0,3,10,82.79249294020276
ABC2959,1,0,2023-05-06 16:20:00,4,2023-05-06 20:20:00,5,16,16,20,5,240,1,2,8,136.77141249144833
ABC6759,0,1,2023-05-07 09:16:00,6,2023-05-07 15:16:00,6,9,9,16,6,360,0,1,3,154.15559163090774
ABC7694,0,1,2023-05-05 09:42:00,2,2023-05-05 11:42:00,4,9,9,42,4,120,0,3,9,109.4454200090033
ABC3385,0,2,2023-05-04 16:23:00,2,2023-05-04 18:23:00,3,16,16,23,3,120,0,1,5,152.44668483096572
ABC5736,0,2,2023-05-03 18:43:00,1,2023-05-03 19:43:00,2,18,18,43,2,60,0,2,7,130.06846857337524
ABC2802,1,2,2023-05-02 08:18:00,3,2023-05-02 11:18:00,1,8,8,18,1,180,1,4,7,117.00689499137863
ABC9155,2,0,2023-05-04 20:36:00,2,2023-05-04 22:36:00,3,20,20,36,3,120,2,4,9,82.38544445478749
ABC9120,0,1,2023-05-06 09:59:00,2,2023-05-06 11:59:00,5,9,9,59,5,120,0,2,2,176.9265488852562
ABC7616,1,0,2023-05-05 15:17:00,4,2023-05-05 19:17:00,4,15,15,17,4,240,1,4,4,119.52491990644711
ABC6534,1,1,2023-05-04 10:11:00,4,2023-05-04 14:11:00,3,10,10,11,3,240,0,3,8,92.02334247492145
ABC5061,0,1,2023-05-07 18:37:00,2,2023-05-07 20:37:00,6,18,18,37,6,120,0,2,5,150.00671680426655
ABC1262,2,1,2023-05-07 19:29:00,1,2023-05-07 20:29:00,6,19,19,29,6,60,1,4,5,124.22804995086258
